population,reagent,Condition,median,variance
CD7+/HLA-DR-,IkBa,IL-2,4.90142548084259,6.69840027848019
CD11b+/CD16-,pSTAT4,IFNg,17.210824966430664,95.36457043442452
pDCs,pS6,TNFa,67.16569137573242,1437.7093868534248
CD11b-/CD16-,pSTAT5,PMAIono,16.461133003234863,169.87059439433648
Basophils,pSTAT4,IL-4,9.796082973480225,28.85554175493336
CD11b-/CD16-,pZap70/Syk,LPS,5.243727684020996,6.967042969096983
CD1c+ B cells,pPLCg2,IL-12,9.890509605407715,NaN
CD16+/CD11b+,pErk1/2,GM-CSF,131.32342529296875,3263.524315761096
CD1c+ B cells,pCREB,IFNg,26.923485279083252,NaN
CD4+T cells,pCREB,IFNa2,18.090535163879395,75.90556465794272
CD8+T cells,pSTAT4,IL-4,5.903850674629211,11.28640243972546
CD16+/CD11b+,pZap70/Syk,Basal,7.010951519012451,13.94760667099197
CD11b-/CD16-,pSTAT6,CD40L,8.480945587158203,39.53321737724828
CD7+/HLA-DR-,Ki67,R848,11.652571678161621,49.338753312838996
Basophils,IkBa,IFNa2,5.946194171905518,7.180031445814776
CD8+T cells,IkBa,CD40L,5.198286414146423,8.195737173487755
CD4+/CD8+,pSTAT6,LPS,5.776597261428833,NaN
CD4+/CD8+,pMAPKAPK2,IFNa2,8.710384845733643,NaN
pDCs,pSTAT1,IL-2,19.564675331115723,250.7578429040587
CD16+/CD11b+,pSTAT6,R848,6.701424837112427,47.054866887848796
CD1c+ B cells,pErk1/2,Ebola VLPs,33.36556100845337,NaN
CD11b+/CD16-,pMAPKAPK2,PMAIono,14.881724119186401,37.363878165602706
CD1c+ B cells,p4E-BP1,IL-12,34.19613027572632,NaN
CD1c+ B cells,pZap70/Syk,IL-4,5.564558148384094,NaN
CD7+/HLA-DR-,pCREB,IFNb,21.790733814239502,131.04190993968876
CD8+T cells,p4E-BP1,IL-2,7.4238128662109375,4.193525304256044
CD4+T cells,pZap70/Syk,Anthrax,4.793620824813843,2.0433318328500754
pDCs,pSTAT5,IFNb,41.957115173339844,421.3461149277061
CD11b-/CD16-,p4E-BP1,GM-CSF,43.37489700317383,247.06886176065703
CD4+T cells,pZap70/Syk,IFNb,4.5926162004470825,1.8506980777775819
CD8+T cells,pSTAT1,IL-6,26.093376636505127,150.16417171463777
Neutrophils,p4E-BP1,R848,7.065081596374512,6.674161787101748
pDCs,pErk1/2,PMAIono,42.21935272216797,756.4260007063704
Neutrophils,Ki67,IFNa2,9.753093957901001,56.79301823516301
CD16+/CD11b+,pP38,IFNa2,19.12821626663208,176.12195922028943
CD4+/CD8+,pSTAT6,IFNa2,6.453319072723389,NaN
CD11b-/CD16-,Ki67,CD40L,34.3554744720459,416.98192898245827
CD8+T cells,pSTAT4,Ebola VLPs,5.919903039932251,11.053442013492905
CD4+/CD8+,pP38,IFNa2,19.344534397125244,NaN
CD4+T cells,p4E-BP1,CD40L,9.103431940078735,6.236428193599252
CD11b-/CD16-,pZap70/Syk,Ebola VLPs,5.082565784454346,6.875742525707536
CD7+/HLA-DR-,pSTAT1,LPS,6.044210910797119,16.512186117192265
CD4+/CD8+,pPLCg2,IL-4,9.931836605072021,NaN
CD7+/HLA-DR-,pSTAT1,IL-4,5.9248998165130615,14.645689059338332
CD4+/CD8+,Ki67,R848,19.153504848480225,NaN
CD16+/CD11b-,pSTAT6,GM-CSF,8.975871324539185,45.95732346109084
CD16+/CD11b-,pErk1/2,Basal,49.14909553527832,849.105142787546
CD1c+ B cells,pPLCg2,IL-6,9.429823398590088,NaN
CD4+T cells,pSTAT4,IFNg,7.216147184371948,15.94653278641256
CD16+/CD11b-,pTBK1,Anthrax,17.95860195159912,259.0882362777499
CD7+/HLA-DR-,pPLCg2,TNFa,6.60550856590271,17.139956731056145
CD7+/HLA-DR-,pCREB,R848,22.327863216400146,130.84180426411604
CD4+T cells,pCREB,IFNb,18.19448757171631,80.98080050511493
Neutrophils,pPLCg2,CD40L,7.2949018478393555,17.440128030388703
CD7+/HLA-DR-,pCREB,TNFa,30.927674293518066,199.21795923428203
CD16+/CD11b-,Ki67,IL-4,18.76051950454712,169.91499737748637
CD8+T cells,pSTAT6,TNFa,4.067009925842285,10.477272519668375
CD11b-/CD16-,pSTAT5,Ebola VLPs,16.897891998291016,158.45661580625776
B Cells,pSTAT5,IL-2,13.376744031906128,75.32472948979617
Basophils,pCREB,R848,33.598496437072754,235.80046486268398
CD4+/CD8+,pZap70/Syk,IL-2,6.340094089508057,NaN
Neutrophils,pP38,Anthrax,14.767258882522583,55.5575540274219
CD11b-/CD16-,p4E-BP1,IL-6,41.97140884399414,254.41213191099047
CD16+/CD11b-,pSTAT4,IL-12,13.081596851348877,73.16702418203265
CD4+/CD8+,IkBa,IFNg,6.496562838554382,NaN
B Cells,Ki67,LPS,17.196441173553467,94.39307961809024
CD1c+ B cells,pTBK1,R848,20.34912085533142,NaN
CD11b-/CD16-,Ki67,IL-6,33.507534980773926,421.3197376597211
B Cells,pSTAT1,PMAIono,5.994492888450623,10.369674767409224
CD4+/CD8+,pSTAT1,Basal,39.10174751281738,NaN
CD4+T cells,pMAPKAPK2,IL-4,5.906298995018005,7.683729364184937
CD11b-/CD16-,pTBK1,GM-CSF,12.987515926361084,86.43313863321983
CD11b-/CD16-,pS6,IFNa2,71.19819259643555,1178.8332122701918
CD8+T cells,pMAPKAPK2,Ebola VLPs,5.326137185096741,7.340547090196016
CD16+/CD11b+,pS6,TNFa,89.80502128601074,2685.196832473768
CD1c+ B cells,Ki67,IL-12,23.485329151153564,NaN
Neutrophils,pSTAT5,IL-2,15.83974003791809,121.09814782685702
CD16+/CD11b-,pSTAT6,R848,7.05252730846405,29.268345911385293
CD4+T cells,Ki67,PMAIono,16.920676231384277,113.383016434014
Basophils,pSTAT4,TNFa,9.83253264427185,27.606854961880778
CD11b+/CD16-,IkBa,Basal,8.744319915771484,23.236976850662412
CD7+/HLA-DR-,pPLCg2,GM-CSF,6.244478225708008,15.358856373076023
B Cells,pTBK1,Ebola VLPs,11.096063137054443,64.46516662001277
pDCs,pSTAT5,LPS,16.81088352203369,187.75359873585205
CD16+/CD11b-,pZap70/Syk,IL-12,6.71842086315155,9.587232328490703
CD11b+/CD16-,pPLCg2,TNFa,11.800324201583862,56.70909942186217
CD4+T cells,pS6,PMAIono,46.559993743896484,497.4939004712163
CD1c+ B cells,pCREB,IL-4,24.50031614303589,NaN
CD11b-/CD16-,pSTAT3,IL-2,63.25125312805176,3230.873533101279
CD7+/HLA-DR-,pSTAT3,IL-2,65.00202369689941,3950.81613176611
Neutrophils,pZap70/Syk,IL-12,8.448358297348022,6.751228232267681
CD16+/CD11b+,pSTAT1,Basal,56.01983070373535,1231.7300086508455
Basophils,Ki67,R848,16.96122407913208,76.78854801450298
Neutrophils,pSTAT4,Ebola VLPs,7.946887731552124,25.052752254353106
Basophils,pSTAT1,IL-12,29.79390525817871,255.18372958978443
B Cells,pP38,GM-CSF,17.956926345825195,81.93050518099797
CD4+/CD8+,pSTAT3,IL-12,102.61929702758789,NaN
CD8+T cells,IkBa,IL-12,5.345446825027466,8.282820263498191
CD4+T cells,pS6,IL-12,46.74476337432861,502.9265372656805
CD11b-/CD16-,pTBK1,CD40L,13.131556272506714,86.39986972195771
CD11b+/CD16-,pSTAT3,R848,92.97824478149414,5550.341704751627
CD1c+ B cells,pSTAT4,IFNb,10.968291759490967,NaN
CD11b+/CD16-,pMAPKAPK2,Ebola VLPs,13.511208772659302,30.551414422923422
Neutrophils,pErk1/2,R848,89.68379020690918,1966.7617025359016
CD16+/CD11b+,pZap70/Syk,IFNa2,7.197535157203674,15.783703643298253
CD16+/CD11b+,Ki67,IL-12,22.671854972839355,344.859507112467
CD4+T cells,p4E-BP1,Basal,9.147704601287842,6.51232157220643
CD8+T cells,pCREB,TNFa,24.65759563446045,112.86348096487863
CD11b+/CD16-,IkBa,PMAIono,7.469617128372192,15.114110222992029
CD4+T cells,pS6,TNFa,45.8183708190918,457.3030017364271
CD8+T cells,pErk1/2,IFNg,26.075596809387207,197.01697675669004
B Cells,pSTAT1,Basal,5.64687442779541,8.642209556007929
Basophils,pZap70/Syk,IL-4,2.992554724216461,2.7141694198567685
CD1c+ B cells,pS6,GM-CSF,68.53312301635742,NaN
CD11b-/CD16-,pSTAT6,Anthrax,8.65640926361084,36.461584778072826
CD8+T cells,Ki67,TNFa,13.684638977050781,75.04004003492692
CD7+/HLA-DR-,p4E-BP1,CD40L,6.291965484619141,4.460337461574034
CD4+T cells,pSTAT1,CD40L,23.326842308044434,165.35040871833579
CD11b+/CD16-,pSTAT1,IFNa2,74.8740406036377,1562.3566883665083
CD11b-/CD16-,IkBa,IL-6,10.203919649124146,31.87018959091904
CD4+T cells,pSTAT3,IFNb,52.53905200958252,2422.3262868369484
B Cells,pSTAT4,GM-CSF,8.65021276473999,18.093397998147914
CD16+/CD11b-,p4E-BP1,IL-2,21.69664764404297,62.66891711029316
CD4+T cells,Ki67,Anthrax,16.869502544403076,110.67696262283414
CD11b+/CD16-,pSTAT5,Anthrax,19.754916667938232,234.74458190703595
CD4+T cells,pErk1/2,IFNa2,28.526347637176514,234.19630071644724
CD4+/CD8+,pSTAT4,GM-CSF,7.3304747343063354,NaN
CD4+/CD8+,pCREB,CD40L,30.680824279785156,664.7312677899765
CD16+/CD11b+,pErk1/2,Anthrax,109.79499435424805,3224.2781154277764
pDCs,pSTAT1,R848,16.53405451774597,239.87046891467972
CD7+/HLA-DR-,pS6,GM-CSF,39.55043125152588,501.401792561853
CD4+/CD8+,pSTAT3,TNFa,88.00071144104004,NaN
CD8+T cells,pSTAT1,PMAIono,21.500293731689453,123.52921353772696
B Cells,pPLCg2,R848,7.007363438606262,12.250643046476895
CD4+T cells,pTBK1,IL-4,7.30473518371582,32.98322967593995
B Cells,pSTAT6,TNFa,7.412861585617065,23.211552223720673
CD11b+/CD16-,pS6,CD40L,73.75326347351074,1579.9756343353745
pDCs,p4E-BP1,GM-CSF,40.22443103790283,NaN
CD11b-/CD16-,pSTAT3,IL-6,68.62471771240234,3222.933242702235
Neutrophils,pErk1/2,IFNb,86.52127456665039,1732.698226994303
CD4+/CD8+,pMAPKAPK2,IL-2,9.582714557647705,NaN
Neutrophils,pSTAT4,LPS,7.867209553718567,27.577050297949267
CD7+/HLA-DR-,pPLCg2,IFNb,6.254801511764526,17.08371107161582
B Cells,pZap70/Syk,IL-4,3.9579172134399414,3.585311232124131
CD1c+ B cells,IkBa,Basal,10.77837586402893,NaN
CD16+/CD11b-,pSTAT5,Basal,19.90991973876953,246.06887916323004
pDCs,pPLCg2,Ebola VLPs,9.634345531463623,25.613029471906113
CD16+/CD11b-,pSTAT4,IL-4,12.499964714050293,62.002343734775614
CD11b+/CD16-,pErk1/2,TNFa,82.84205627441406,1684.725832408652
CD16+/CD11b-,pSTAT5,IFNg,30.47609519958496,264.5259611952829
CD7+/HLA-DR-,IkBa,Anthrax,5.274023652076721,7.144820574275011
CD11b-/CD16-,pSTAT3,IL-4,60.405747413635254,3415.982905805119
CD16+/CD11b+,Ki67,IL-4,23.508686542510986,256.1236547589073
Neutrophils,pZap70/Syk,IL-2,8.374244213104248,6.333012317246082
CD7+/HLA-DR-,pZap70/Syk,IFNa2,3.921513795852661,4.034738944840471
CD16+/CD11b-,pErk1/2,R848,83.55877876281738,1669.392024864951
CD1c+ B cells,Ki67,Ebola VLPs,23.57748031616211,NaN
CD7+/HLA-DR-,p4E-BP1,IL-2,7.121421217918396,5.522810906258354
CD8+T cells,pZap70/Syk,Basal,4.378094553947449,1.4626233318683686
CD1c+ B cells,pTBK1,IL-2,19.185180187225342,NaN
CD16+/CD11b+,pSTAT5,IFNb,47.374491691589355,619.127362580846
CD7+/HLA-DR-,Ki67,GM-CSF,11.315306186676025,48.51756158117811
CD16+/CD11b+,pP38,R848,46.62677001953125,525.2683929999082
CD7+/HLA-DR-,pTBK1,PMAIono,7.621929168701172,36.60776645893329
pDCs,pMAPKAPK2,IFNb,9.8235604763031,27.784697218722698
CD7+/HLA-DR-,IkBa,CD40L,5.0831358432769775,6.581704356101997
pDCs,pTBK1,IL-2,11.024972438812256,88.94446280724425
CD1c+ B cells,pCREB,IFNa2,23.595595359802246,NaN
pDCs,pSTAT5,PMAIono,17.286333084106445,186.0348763132125
CD4+/CD8+,IkBa,LPS,6.578324794769287,NaN
B Cells,pErk1/2,Ebola VLPs,26.83978796005249,183.76005259062313
CD16+/CD11b-,pP38,LPS,37.2891731262207,358.717465211062
pDCs,pP38,IFNa2,23.18815040588379,173.11851386312875
CD4+T cells,Ki67,IL-6,16.562785148620605,103.7126360768239
Basophils,pSTAT6,IFNa2,8.31109094619751,29.529268155656883
CD11b+/CD16-,pP38,Ebola VLPs,18.71129274368286,124.60534968943813
CD11b-/CD16-,pErk1/2,GM-CSF,85.41562843322754,1940.9581514427487
Neutrophils,pCREB,R848,25.375571250915527,127.84852773084813
CD4+T cells,pS6,IFNg,46.18530082702637,434.3245414139327
B Cells,pS6,PMAIono,45.55931758880615,390.8267884697269
Neutrophils,pSTAT4,GM-CSF,7.764009714126587,25.55577759257158
CD16+/CD11b-,IkBa,IL-6,4.758124113082886,4.8955148709329475
CD4+/CD8+,p4E-BP1,Anthrax,9.771693706512451,NaN
CD4+T cells,pTBK1,IL-2,6.834904313087463,30.230652880770354
CD16+/CD11b+,pMAPKAPK2,IFNb,14.854453563690186,39.70874211845685
CD1c+ B cells,pTBK1,TNFa,16.598520278930664,NaN
CD7+/HLA-DR-,pMAPKAPK2,Anthrax,5.510333061218262,9.03251105739686
CD11b+/CD16-,pErk1/2,Ebola VLPs,78.24809837341309,1515.164670197004
Basophils,pSTAT1,IFNa2,31.033906936645508,254.74849703465378
CD16+/CD11b+,p4E-BP1,TNFa,32.84582233428955,123.87190167030937
CD11b-/CD16-,pSTAT4,R848,12.911230564117432,52.36755953612088
CD16+/CD11b+,pSTAT6,IFNa2,11.384111166000366,81.66348145655938
Basophils,pP38,IL-2,11.315452575683594,39.86027188434908
CD4+T cells,pZap70/Syk,Ebola VLPs,4.64762806892395,1.8064279833627996
CD11b+/CD16-,pZap70/Syk,IL-6,5.426374197006226,9.04893386889187
CD16+/CD11b+,pPLCg2,IFNb,15.54935884475708,158.7579523971969
CD1c+ B cells,pErk1/2,TNFa,34.07187080383301,NaN
pDCs,pSTAT6,R848,8.080899357795715,45.065242095729154
CD11b+/CD16-,pSTAT4,IL-2,16.727628231048584,98.33002387552298
CD4+/CD8+,p4E-BP1,GM-CSF,9.319600105285645,NaN
CD11b-/CD16-,pSTAT6,Basal,8.68806266784668,42.21337219412272
CD8+T cells,pSTAT3,IL-2,53.70765495300293,2737.5531025513174
CD8+T cells,pPLCg2,TNFa,5.760980010032654,11.108542249982193
CD16+/CD11b-,pSTAT4,IFNa2,13.031389236450195,64.52411060620223
CD1c+ B cells,pSTAT1,Ebola VLPs,13.140738248825073,NaN
CD11b+/CD16-,pZap70/Syk,CD40L,5.592153787612915,9.23526171053095
CD7+/HLA-DR-,pSTAT1,Anthrax,5.971347332000732,13.59348272721425
CD16+/CD11b+,pP38,Ebola VLPs,20.448420524597168,179.94511169755955
CD1c+ B cells,pErk1/2,R848,37.24355125427246,NaN
CD7+/HLA-DR-,pSTAT4,PMAIono,6.417527198791504,12.912108350584129
CD4+/CD8+,p4E-BP1,TNFa,9.596944093704224,NaN
CD16+/CD11b+,pTBK1,CD40L,16.39416217803955,228.8279306725019
Neutrophils,pZap70/Syk,Basal,8.625863075256348,6.225172292031087
Basophils,p4E-BP1,IL-12,11.404210567474365,11.081842066919263
CD8+T cells,pSTAT3,IFNg,49.69748306274414,2330.439916858041
CD4+T cells,p4E-BP1,Ebola VLPs,9.003252983093262,5.766297822142155
CD4+/CD8+,pMAPKAPK2,Basal,8.422658443450928,NaN
CD7+/HLA-DR-,pPLCg2,IL-6,6.242284417152405,15.251352604215093
CD8+T cells,pZap70/Syk,TNFa,4.395091533660889,1.5318743722846575
CD11b+/CD16-,Ki67,IL-12,27.091339111328125,311.32956681257474
CD11b-/CD16-,pPLCg2,GM-CSF,10.784856796264648,40.34435948524625
CD4+T cells,pTBK1,TNFa,8.18235969543457,34.2485443243961
Basophils,pErk1/2,PMAIono,45.68320846557617,1067.5017601237803
CD8+T cells,IkBa,Ebola VLPs,5.242227673530579,8.58172730951505
CD4+T cells,pSTAT1,Anthrax,21.68563461303711,132.72814953672687
CD4+/CD8+,p4E-BP1,IFNa2,9.235090494155884,NaN
CD8+T cells,pCREB,IFNa2,20.931851387023926,90.27137525192707
Basophils,pSTAT6,PMAIono,6.429718255996704,32.14143679892064
CD16+/CD11b-,pCREB,IL-6,40.07475471496582,396.1946331612779
pDCs,pSTAT5,TNFa,16.598173141479492,272.13805019164096
Neutrophils,pZap70/Syk,IFNa2,8.355844020843506,6.5040774224184
CD1c+ B cells,pErk1/2,GM-CSF,35.83566474914551,NaN
CD7+/HLA-DR-,pSTAT5,Ebola VLPs,9.906113147735596,50.62223128857542
CD16+/CD11b-,pSTAT1,IL-4,52.8736515045166,1189.3919275549943
Basophils,pTBK1,Ebola VLPs,11.83278226852417,79.4512369897333
CD8+T cells,pP38,IL-6,14.152260780334473,49.00859012191841
B Cells,pPLCg2,Anthrax,7.412784814834595,15.616248343730826
Basophils,pSTAT4,IL-12,9.84281039237976,31.26767105740094
pDCs,pSTAT3,IL-12,68.34359359741211,2227.411063059443
CD4+T cells,pS6,IL-2,47.39042091369629,491.82848146758727
pDCs,pP38,IFNb,21.02712869644165,218.0998155196092
CD1c+ B cells,pErk1/2,IFNa2,34.33161401748657,NaN
Neutrophils,Ki67,IFNg,10.349963665008545,59.983764377296254
CD8+T cells,pP38,LPS,13.825888633728027,48.948066493325186
B Cells,Ki67,TNFa,17.121724128723145,88.854387745914
Basophils,pZap70/Syk,IFNg,2.973907470703125,2.395536637853199
CD16+/CD11b-,pSTAT4,R848,11.784857034683228,45.24354531394897
CD16+/CD11b-,pMAPKAPK2,Ebola VLPs,12.835920810699463,21.344437015819942
CD1c+ B cells,pSTAT3,Ebola VLPs,55.56243419647217,NaN
B Cells,pS6,Anthrax,46.022186279296875,400.04182886992623
CD1c+ B cells,pSTAT5,IFNa2,26.406786918640137,NaN
CD1c+ B cells,pSTAT5,TNFa,18.905345916748047,NaN
Neutrophils,pSTAT6,GM-CSF,4.309946775436401,11.961590749180228
CD16+/CD11b+,pP38,IL-6,20.419495582580566,167.51196707702218
CD11b-/CD16-,pSTAT5,TNFa,17.498990058898926,153.9818162423834
B Cells,Ki67,R848,17.63170051574707,95.7946851194908
CD11b+/CD16-,pZap70/Syk,R848,6.261963844299316,10.743736023560787
CD16+/CD11b+,pMAPKAPK2,R848,22.648983001708984,82.65229470601032
Basophils,pErk1/2,IL-2,30.134201049804688,438.7466752815906
Basophils,pSTAT1,IFNg,26.342468738555908,198.37700554979057
CD4+/CD8+,pSTAT6,IFNg,5.5995917320251465,NaN
Neutrophils,pS6,LPS,48.56205749511719,643.4281422139778
CD16+/CD11b+,pSTAT4,CD40L,17.929161071777344,145.30949866384861
CD1c+ B cells,pErk1/2,IL-6,37.176833152770996,NaN
CD1c+ B cells,pCREB,Ebola VLPs,24.57254695892334,NaN
Basophils,pSTAT5,IFNb,46.77538871765137,328.5607825461889
CD16+/CD11b+,pS6,IL-6,85.56237411499023,2475.831595046689
CD4+T cells,pSTAT3,LPS,43.1368989944458,2344.7062438724
B Cells,pSTAT3,IL-2,43.52164363861084,2472.9277959916544
CD4+T cells,pP38,IFNg,14.067535400390625,54.889358040470036
CD4+/CD8+,pSTAT5,Ebola VLPs,18.01611566543579,NaN
Neutrophils,pSTAT1,PMAIono,34.715877532958984,411.98540785572857
pDCs,pSTAT6,PMAIono,8.363730669021606,56.13621665789493
Basophils,pP38,PMAIono,11.807331085205078,78.08854786309415
CD16+/CD11b+,IkBa,IFNg,6.600914239883423,13.815983378361317
CD11b+/CD16-,pSTAT3,Ebola VLPs,83.66550827026367,5335.238822599126
CD7+/HLA-DR-,IkBa,LPS,4.935716032981873,6.72055905757508
CD8+T cells,pTBK1,Basal,6.426540851593018,22.42216845976047
CD16+/CD11b+,pSTAT3,PMAIono,108.68564414978027,9961.814224335449
CD1c+ B cells,pZap70/Syk,LPS,6.509723722934723,NaN
CD11b-/CD16-,pS6,LPS,69.07733917236328,1214.215756033405
CD16+/CD11b+,IkBa,IL-12,5.8758591413497925,13.780063352689425
CD16+/CD11b-,pCREB,IFNb,40.16224670410156,413.90934290659317
CD4+/CD8+,pSTAT4,PMAIono,8.250903844833374,NaN
pDCs,Ki67,GM-CSF,27.594365119934082,NaN
CD11b-/CD16-,pMAPKAPK2,GM-CSF,12.874814987182617,29.386877131370067
CD7+/HLA-DR-,IkBa,IL-12,5.108728647232056,6.521573997517287
CD4+/CD8+,pCREB,IFNb,31.14936351776123,NaN
CD16+/CD11b+,Ki67,TNFa,24.440345764160156,305.00838447916715
CD11b-/CD16-,Ki67,IL-12,33.26605033874512,488.23115755588753
CD4+/CD8+,pSTAT6,Ebola VLPs,5.50258731842041,NaN
CD4+/CD8+,pSTAT1,Anthrax,39.210991859436035,NaN
CD8+T cells,p4E-BP1,IFNa2,6.710714101791382,3.7384906308940753
Basophils,pSTAT3,IFNb,56.90333366394043,4449.061819379352
CD4+/CD8+,pSTAT5,IFNb,45.39673900604248,NaN
Basophils,pSTAT1,IL-4,27.136173248291016,226.60614076271065
CD4+T cells,pTBK1,IL-12,7.4444639682769775,36.605197568230096
CD11b-/CD16-,pSTAT5,Basal,17.42912483215332,152.61378949536504
Basophils,Ki67,PMAIono,17.747610569000244,134.91055439303622
B Cells,pP38,IFNg,18.0431547164917,84.74235439802523
CD4+T cells,pMAPKAPK2,CD40L,5.804019927978516,7.710195417289208
pDCs,pMAPKAPK2,Anthrax,10.311487436294556,22.18977973704696
B Cells,pPLCg2,IL-6,6.60526967048645,10.58367130359389
CD4+T cells,pMAPKAPK2,Ebola VLPs,5.569575548171997,7.274644132924441
pDCs,pErk1/2,GM-CSF,61.54737663269043,NaN
CD11b+/CD16-,pTBK1,IFNb,12.26560354232788,99.8834799856801
CD16+/CD11b+,pMAPKAPK2,IL-12,14.77878475189209,41.46401413207422
CD1c+ B cells,p4E-BP1,Anthrax,35.94185733795166,NaN
CD8+T cells,pSTAT6,IL-12,4.128305077552795,12.033889302387026
CD11b-/CD16-,IkBa,LPS,6.5704474449157715,10.125662715511389
CD16+/CD11b+,pPLCg2,TNFa,15.671069383621216,129.2017792028265
B Cells,pCREB,IL-12,20.5578670501709,97.10370196862202
B Cells,pCREB,Anthrax,20.15856647491455,97.70010598618178
CD16+/CD11b-,pCREB,TNFa,51.44933319091797,533.5983093434478
B Cells,pMAPKAPK2,R848,6.823099374771118,9.347671729834811
CD11b-/CD16-,pPLCg2,TNFa,10.480257987976074,35.625054524881584
CD7+/HLA-DR-,pS6,CD40L,40.559913635253906,523.0080987825903
CD16+/CD11b+,p4E-BP1,IL-12,28.053011894226074,121.96814480070016
CD4+/CD8+,pMAPKAPK2,IL-12,9.373314380645752,NaN
CD8+T cells,pTBK1,LPS,6.486945033073425,25.25057744982937
pDCs,pP38,Ebola VLPs,21.377254009246826,172.82684150842798
CD4+/CD8+,Ki67,LPS,18.62088918685913,NaN
CD7+/HLA-DR-,Ki67,IFNg,11.31363582611084,43.65997827846656
CD7+/HLA-DR-,Ki67,LPS,11.488293170928955,50.88060697455091
CD16+/CD11b+,pCREB,GM-CSF,61.64945888519287,1003.6910100577946
CD1c+ B cells,pSTAT5,Ebola VLPs,20.057387351989746,NaN
Basophils,pSTAT5,Anthrax,27.951847076416016,197.66901554637576
CD11b+/CD16-,pSTAT1,IFNb,83.43661308288574,1936.126809049686
CD4+T cells,pSTAT4,GM-CSF,7.175811529159546,16.94195796161917
CD16+/CD11b+,pSTAT5,IL-4,23.863401412963867,378.5683078000467
CD7+/HLA-DR-,pSTAT3,PMAIono,61.63296031951904,3625.7689122612046
Basophils,pMAPKAPK2,IL-12,7.940869092941284,17.471226453843816
Basophils,pSTAT5,R848,25.360583305358887,136.29895787675295
CD11b+/CD16-,pSTAT3,IFNb,97.78235816955566,5251.570390537206
CD16+/CD11b-,pCREB,R848,55.29506587982178,678.1752232463228
CD8+T cells,pSTAT6,LPS,4.05447793006897,10.915940175391675
Basophils,pSTAT4,IL-6,9.486841678619385,27.081387599382634
CD4+T cells,p4E-BP1,IL-6,8.928199768066406,6.032069054633787
CD16+/CD11b+,p4E-BP1,Anthrax,30.162571907043457,105.3577038970277
CD4+T cells,pSTAT4,R848,7.208346962928772,16.700980138340903
pDCs,pCREB,GM-CSF,36.828697204589844,NaN
CD16+/CD11b+,pSTAT4,IL-6,17.691332817077637,147.7101457340774
pDCs,pSTAT4,IL-2,9.57789659500122,38.67293625664499
pDCs,pSTAT3,TNFa,71.48448181152344,3815.656225571661
Neutrophils,pErk1/2,CD40L,84.36952590942383,1791.5057705763484
CD16+/CD11b-,pP38,GM-CSF,24.1154842376709,169.14967701012782
CD16+/CD11b-,Ki67,GM-CSF,19.146735191345215,181.06612648925395
CD11b-/CD16-,pSTAT6,IFNg,9.342265129089355,40.364384700089204
CD16+/CD11b+,pSTAT4,R848,15.342230319976807,100.6019516339862
CD1c+ B cells,IkBa,IL-12,11.435641407966614,NaN
CD4+T cells,pSTAT3,TNFa,44.50933361053467,2341.8891446534512
CD4+/CD8+,Ki67,IL-2,19.767348289489746,NaN
CD16+/CD11b+,pMAPKAPK2,Ebola VLPs,15.382129192352295,41.655624417143336
CD16+/CD11b-,pZap70/Syk,IL-6,6.687514305114746,9.557836446551477
CD4+T cells,p4E-BP1,IL-2,9.278092622756958,6.1680760806945845
CD8+T cells,pSTAT3,LPS,49.17239856719971,2449.238789405296
B Cells,pS6,IFNg,44.73308563232422,335.00744569505997
CD11b-/CD16-,IkBa,IL-12,9.67955994606018,30.88144615465696
CD11b+/CD16-,pTBK1,PMAIono,12.346418857574463,100.30469176341734
Basophils,pZap70/Syk,LPS,2.9648956060409546,2.496034303388166
CD4+T cells,pPLCg2,R848,5.487902998924255,9.746318448716373
CD4+/CD8+,IkBa,IFNa2,6.02991795539856,NaN
CD16+/CD11b+,p4E-BP1,IL-4,29.44429588317871,97.10250339464552
CD11b-/CD16-,Ki67,Ebola VLPs,34.05057144165039,488.1013458226295
CD1c+ B cells,pMAPKAPK2,IL-6,8.35342013835907,NaN
Neutrophils,pCREB,Ebola VLPs,23.605521202087402,117.32848453628418
CD4+T cells,pCREB,CD40L,17.83654022216797,76.91974493683443
CD8+T cells,pP38,PMAIono,14.674604654312134,61.65539390605187
Basophils,pSTAT6,R848,6.504994630813599,21.48785140574687
CD1c+ B cells,pSTAT1,GM-CSF,11.397736072540283,NaN
CD16+/CD11b-,pCREB,GM-CSF,54.57200813293457,612.2727834744527
Neutrophils,pPLCg2,Ebola VLPs,7.224703788757324,15.926386653939664
Neutrophils,p4E-BP1,GM-CSF,6.747603893280029,6.155661408776134
CD1c+ B cells,pCREB,IFNb,26.760726928710938,NaN
Neutrophils,pPLCg2,IL-6,7.090918660163879,16.10963037174435
CD8+T cells,p4E-BP1,CD40L,7.039424896240234,3.8075026236095604
CD1c+ B cells,pSTAT5,Anthrax,20.706552028656006,NaN
CD4+/CD8+,pSTAT4,IL-12,8.72005581855774,NaN
B Cells,pP38,Anthrax,17.329614639282227,88.6012270754269
CD7+/HLA-DR-,p4E-BP1,IFNa2,6.143461346626282,4.2255732004657895
